Store Name,Rating,Date,Body,Location,Time Spent with App
Stay In Bed,5,"March 20, 2024","Easy to use, we have been able to exlude, include and set different rates for different postcodes without issues. I see it has a lot more functionality. The support has been the most impressive, I wish other companies had the quality of support these guys do.",United Kingdom,About 1 month using the app
The Coffee Company,5,"February 8, 2024","App works for what we need, took some time to set up/have the right shopify conditions present as well. We needed to contact shopify to add calculated shipping rates because we were on a basic shopify plan (years ago). Once that was all done worked great.",Australia,Over 2 years using the app
ReadyRack,5,"February 11, 2024","We were trying to find a shipping app where we could set up multiple shipping rules for different product sizes and rates. Our requirements were somewhat extremely customized. The support team was extremely helpful and gave the result I was looking for, in a fast and effective way. Highly recommended.",Australia,Over 2 years using the app
Massive Discounts,5,"Edited April 2, 2024","Postcode Shipping has been a game-changer for my online business! Their seamless integration allows me to easily set up shipping restrictions based on postcode, ensuring smooth deliveries every time. With their prompt customer support and intuitive interface, managing shipping logistics has never been easier. Highly recommended!",United Kingdom,1 day using the app
Reuben's Meal Plans,5,"January 22, 2024",This app is fantastic and the support from Blanca was great in helping us out with our specific requirements for different regions and the product shipping for them within each one.,United Kingdom,Over 2 years using the app
Stephs Gourmet Foods,5,"February 7, 2024","Great Service,Great help!!!",Australia,Over 3 years using the app
Box Of Goodies,5,"August 22, 2023","Really helpful App and more importantly when I've had issues, I've received help very quickly. And the answer has always been right first time. Highly recommend :)",Australia,Almost 3 years using the app
Surf Society,5,"November 2, 2023",We have a complicated shipping set up with multiple zones sorted by postcode along with product categories. The postcode shipping team has been very helpful throughout and post set up. App does everything we need it to do and the support is great.,Australia,10 months using the app
InfantBoo.com,5,"September 12, 2023",This app is nothing short of miraculous. It has breathed new life into my Shopify store. The seamless integration and intuitive features make it a breeze to use. The real magic is in the tangible results – my conversion rates have soared since I started using it.,United States,About 1 month using the app
Little Love Co Flowers,5,"June 29, 2023",we love the app. It always works great. when I get stuck and break the website the app help is also amazing and very prompt!,Australia,Over 3 years using the app
Fleur Studios,2,"October 3, 2023","I have found it very hard to set up or reconfigure, once you have decided to go live if you need to change something (which you will from time to time) it is very easy to destroy your postcode setup and spend hours trying to fix it. I haven't found them to be helpful on chat either. Look elsewhere if you can, I don't tend to leave bad reviews but have to say my experience has not been great.",Australia,About 1 year using the app
Ultraceuticals IE,5,"September 1, 2023",This app worked well for allowing different shipping rates within a country which is not supported by the default Shopify shipping. The support is also fantastic!,Ireland,1 day using the app
8Appliances,5,"July 24, 2023",A very handy app and the team at postcodes shipping are very understanding and helpful. Highly recommend!,Australia,5 days using the app
Eastside Cellars,5,"August 9, 2021",This app has helped me focus our shipping by zipcode so that we can offer appropriate shipping rates to our local clients that we serve directly (vs using a 3rd party shipper). Intuitive and friendly interface makes setup easy. Their team was also very responsive to my initial setup questions.,United States,About 7 years using the app
Thegardenedit,5,"October 23, 2015",This app saved our skin. Shopify’s big flaw is not being able to set shipping prices on a per product basis. This was the only app that allowed us to set custom shipping rates in conjunction with weight/price rules.,United Kingdom,About 7 years using the app
Rasto Organics,5,"April 27, 2017","Excellent Product, Superb Customer Service. Thanks Zann.",Australia,About 6 years using the app
All Things For Kids,5,"November 23, 2022","Always been such a great help! A very good supportive app, questions answered super quickly! Although no one enjoys shipping haha",Australia,About 5 years using the app
Dabolly,5,"May 26, 2019","Great app. Zann has been very helpful and always helped us solve our problems. We mainly deal with international shipping so it is quite complicated to set up the shipping rates, but Zann has been very patient in helping us do the settings. He gave me a phone call to brief us through step by step. We have compared and consulted several apps and finally decided to use this app. We suggest if your shipping rate setup is complicated, give this app a try and you will be amazed how great the value is.",United Kingdom,Almost 5 years using the app
Spacemaker Wardrobes,5,"November 17, 2015","The Postcode Shipping Extension is a very well thought out and robust application which is perfect for stores which require more shipping functionality than the basic shipping options that Shopify have available. The application allows complete control and customisation of postcode ranges, countries, weight ranges quantity ranges. In addition, the developer (Zann) is quick to reply to emails and always goes above and beyond to help in any way. We highly recommend this app.",Australia,Almost 5 years using the app
ARTdiscount,5,"November 23, 2022",The support was very helpful and knowledgeable. Postcode Shipping app is easy to use and works really well within Shopify.,United Kingdom,Over 4 years using the app
That Little Flower Shop,5,"July 25, 2017","Fantastic customer service! Zann wen't above and beyond to fix my postcode shipping problem, We love this app and has been a godsend for our business",Australia,About 4 years using the app
Easy Safety Signs,5,"February 21, 2018",What can I say. Absolutely chuffed with this app and more importantly the service from Zann. Can't think of a better way to spend $10 a month. Saving me a fortune and makes my shipping rates really responsive.,Australia,Almost 4 years using the app
Precision Coffee Roasters,5,"February 2, 2019","This app has been very helpful in setting up our shipping rates. We have a combination of couriers and delivery methods so having the ability to choose shipping rates based on postcode as well as weight and order value has been very useful. Excellent support, we had an issue because I'd made a mistake setting up one of our shipping rates and Zann got back to me within 10 minutes to fix it!",Australia,Almost 4 years using the app
Diy Kits,5,"November 6, 2017","There are many things that can ruin your ecommerce journey, but one of the biggest hurdles to overcome is shipping. Everyone has unique requirements and for me, the automated lookup solutions never produce an accurate amount. If you use more than one shipper and don't mind doing a lot of data entry, then Postcode Shipping Extension is the answer. It provides a lot of control over zones, weight and order pricing allowing you to create rules for a multitude of scenarios. This, backed up by above and beyond support, makes this the happiest extension you'll own.",Australia,Almost 4 years using the app
The Family Cook,5,"Edited September 29, 2020","I can not RAVE about this app enough. Not only does the app work... the customer service is EXCEPTIONAL! There is a very strong and serious team behind it, who are passionate about delivering an amazing app. The customer service I receive is so fast and effective. I am so grateful to this team for not only providing me with an app that works seamlessly... the customer service I receive is EXCEPTIONAL. Jump on it. You won't regret it.",Australia,Over 3 years using the app
cuddlies.co,5,"December 19, 2019",The support you get with this app is excellent. The App has saved us a bundle on shipping and helped increase conversion.,Australia,Over 3 years using the app
The Dharma Door,5,"January 8, 2023","We deliver items to customers in Australia and internationally. Have been using Postcode Shipping for 4 years, never had an issue. Support is always quick to respond to any queries which is great.",Australia,Over 3 years using the app
Eat Cake Today,5,"Edited April 27, 2016","This app does what it says it would do and above – topped with a very helpful on-the-ball customer support.  It's a non-complicated app with not too many words in its dashboard which helps you as a new user quickly become a seasoned user.  As simple as the app looks, it's functions goes the distance in the shipping department.  Glad I came across this app, been a huge lifesaver.",Malaysia,Over 3 years using the app
Kids Cars 4 U,5,"January 27, 2016",Simple and effective app which is a must-have for anybody trying to integrate freight costs and/or multiple shipping zones within Shopify. The only solution we've been able to find that works flawlessly. Zann's customer support is second to none. Very happy!,Australia,Over 3 years using the app
NESST,5,"February 2, 2019",I use this app for my online florist company. I had a wee issue trying to work out how to use suburbs over postcodes + Zann helped me so quickly + efficiently. I have been able to double my delivery radius because of this app + Zann's doing. Thank you!! www.thenesst.com,Australia,Over 3 years using the app
Shootenstuff,5,"November 17, 2015",We changed over to this App from another of Zann's. App did exactly what I was hoping it would do for us and as per usual top quality support.,Australia,Over 3 years using the app
Wgd Online,5,"December 14, 2015","Very simple app, with easy to configure options.",Australia,Over 3 years using the app
Hair Art and Beauty,5,"March 6, 2023","Great app! After our web manager left, we had to make some edits to this app, and the support was amazing :)",New Zealand,Over 3 years using the app
Wonderful Cake House,5,"August 3, 2022","Great app with amazing support! The team at Postcode Shipping was really helpful, always quick to reply and help. Would definitely recommend this app. Great Job and thanks Jerome!",Malaysia,About 3 years using the app
Courthouse Interiors,5,"January 15, 2021",Amazing App! This app has solved a huge problem for us....anyone in the UK using Shopify & DPD should have this. The set-up is great and the Addition Support was 5*. They patiently walked us through the final part of the set-up and checked everything was up and running. This app is going to save us time and money. Can't recommend it enough :),United Kingdom,About 3 years using the app
Crafty Wholesale Limited,5,"March 18, 2021","Been using this app for a few months now and it has really drastically improved our store. Especially for the UK - as we have complex settings with offshore shipping to Northern Ireland, the Highlands and the Channel Islands this app has helped to really organise this. We also use multiple courier services. We have had to contact support a couple of times and they are always prompt and thoroughly helpful! Thanks",United Kingdom,Almost 3 years using the app
